0,1,2
author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542828/;Жуковский;sale;flat;2;18;1;52.7;8168500;; Гудкова;6;Ильинская;Гранд Комфорт,,
СОВКОМБАНК;official_representative;https://zhukovsky.cian.ru/sale/flat/304369759/;Жуковский;sale;flat;4;5;2;42.7;4700000;; Гагарина;25;Ильинская;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307543050/;Жуковский;sale;flat;5;18;2;63.9;10543500;; Гудкова;6;Ильинская;Гранд Комфорт,,
ID 105760738;homeowner;https://zhukovsky.cian.ru/sale/flat/304204150/;Жуковский;sale;flat;9;10;1;32.8;5200000;; Левченко;1;Отдых;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542739/;Жуковский;sale;flat;8;18;2;65.7;10191900;; Гудкова;6;Ильинская;Гранд Комфорт,,
ID 310263;homeowner;https://zhukovsky.cian.ru/sale/flat/283282239/;Жуковский;sale;flat;8;20;2;57.4;8000000;; Баженова;4/2;Ильинская;Полетград,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307543066/;Жуковский;sale;flat;7;18;1;40.7;6311200;; Гудкова;6;Ильинская;Гранд Комфорт,,
Центральное;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/307432324/;Жуковский;sale;flat;2;9;1;32.7;5350000;; Семашко;8к1;Отдых;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542382/;Жуковский;sale;flat;4;18;2;71.0;12145000;; Гудкова;6;Ильинская;Гранд Комфорт,,
Центральное;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/308786793/;Жуковский;sale;flat;3;9;2;46.6;7477000;; Мясищева;8б;Ильинская;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542754/;Жуковский;sale;flat;10;18;1;38.0;5896800;; Гудкова;6;Ильинская;Гранд Комфорт,,
Экспресс-недвижимость;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/299498097/;Жуковский;sale;flat;9;20;2;55.5;8000000;; Баженова;4/2;Ильинская;Полетград,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542123/;Жуковский;sale;flat;2;18;2;68.8;11366100;; Гудкова;;Жулебино;Гранд Комфорт,,
Золотые Ключи;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/308254008/;Жуковский;sale;flat;19;25;2;57.0;10690000;; Гагарина;62;Ильинская;Гагаринский,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542462/;Жуковский;sale;flat;6;18;1;49.2;7663600;; Гудкова;6;Ильинская;Гранд Комфорт,,
ID 56167744;homeowner;https://zhukovsky.cian.ru/sale/flat/308354180/;Жуковский;sale;flat;5;5;2;42.4;4900000;; Гагарина;17/1;Ильинская;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542476/;Жуковский;sale;flat;9;18;2;59.2;9561600;; Гудкова;6;Ильинская;Гранд Комфорт,,
ID 264264;realtor;https://zhukovsky.cian.ru/sale/flat/308953342/;Жуковский;sale;flat;1;5;2;44.0;5200000;; Дугина;10;Ильинская;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542579/;Жуковский;sale;flat;5;18;1;43.3;6884700;; Гудкова;6;Ильинская;Гранд Комфорт,,
ID 87333070;realtor;https://zhukovsky.cian.ru/sale/flat/291999253/;Жуковский;sale;flat;8;17;1;37.0;5800000;;Нижегородская ;31А;Кратово;Нижегородский,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542668/;Жуковский;sale;flat;17;18;2;63.3;9979200;; Гудкова;6;Ильинская;Гранд Комфорт,,
Экспресс-недвижимость;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/268937557/;Жуковский;sale;flat;4;20;1;44.5;6500000;; Баженова;4/2;Ильинская;Полетград,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542753/;Жуковский;sale;flat;10;18;2;56.4;8752000;; Гудкова;6;Ильинская;Гранд Комфорт,,
ID 117813889;homeowner;https://zhukovsky.cian.ru/sale/flat/303374948/;Жуковский;sale;flat;3;9;1;33.0;4990000;; Федотова;3;Ильинская;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542899/;Жуковский;sale;flat;8;18;2;70.2;10891500;; Гудкова;6;Ильинская;Гранд Комфорт,,
CENTURY 21 Перспектива;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/308105404/;Жуковский;sale;flat;9;16;1;37.0;5250000;; Горельники;4;Кратово;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542480/;Жуковский;sale;flat;9;18;1;40.1;6182400;; Гудкова;6;Ильинская;Гранд Комфорт,,
Экспресс-недвижимость;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/274928256/;Жуковский;sale;flat;8;20;1;45.3;6600000;; Баженова;4/2;Выхино;Полетград,,
Русь-офис Ильинский;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/303864676/;Жуковский;sale;flat;3;5;1;25.6;3800000;; Чаплыгина;32;Отдых;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542703/;Жуковский;sale;flat;3;18;2;56.5;8927000;; Гудкова;6;Ильинская;Гранд Комфорт,,
УСПЕХ;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/308165339/;Жуковский;sale;flat;3;14;1;38.6;5200000;; Баженова;1к2;Ильинская;,,
ID 492162;realtor;https://zhukovsky.cian.ru/sale/flat/307209994/;Жуковский;sale;flat;1;5;2;45.0;5000000;; Дугина;10;Ильинская;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542025/;Жуковский;sale;flat;12;18;2;68.1;11770500;; Гудкова;;Жулебино;Гранд Комфорт,,
ВИЗАВИ;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/297245316/;Жуковский;sale;flat;9;14;1;37.9;6400000;; Левченко;8;Отдых;,,
Самолёт Плюс Раменское;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/305868749/;Жуковский;sale;flat;2;5;2;34.0;3030000;; Наркомвод;31;Кратово;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542282/;Жуковский;sale;flat;10;18;2;53.3;10139400;; Гудкова;;Жулебино;Гранд Комфорт,,
Владис Новый Город;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/307913800/;Жуковский;sale;flat;4;5;2;46.7;4980000;; Чкалова;45;Отдых;,,
АвиаН-Недвижимость;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/308834084/;Жуковский;sale;flat;5;5;2;41.0;6050000;; Жуковского;23;Отдых;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542291/;Жуковский;sale;flat;11;18;2;63.7;10382400;; Гудкова;;Жулебино;Гранд Комфорт,,
УСПЕХ;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/308160490/;Жуковский;sale;flat;3;9;1;36.7;6500000;; Анохина;11;Отдых;,,
Ла Терра;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/307463417/;Жуковский;sale;flat;6;9;1;35.2;4950000;; Федотова;3;Ильинская;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542312/;Жуковский;sale;flat;12;18;2;68.2;11105500;; Гудкова;6;Ильинская;Гранд Комфорт,,
УЮТ;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/302194029/;Жуковский;sale;flat;4;14;1;39.0;5750000;; Баженова;19;Ильинская;,,
ID 109565334;homeowner;https://zhukovsky.cian.ru/sale/flat/308847928/;Жуковский;sale;flat;7;17;1;43.1;7000000;; Лацкова;1;Ильинская;Дом 1,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542063/;Жуковский;sale;flat;15;18;1;42.8;6847000;; Гудкова;;Жулебино;Гранд Комфорт,,
УЮТ;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/299335404/;Жуковский;sale;flat;11;14;1;37.0;5450000;; Баженова;5к1;Ильинская;,,
ID 264264;realtor;https://zhukovsky.cian.ru/sale/flat/308813525/;Жуковский;sale;flat;9;14;2;52.4;8500000;; Семашко;10;Отдых;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542159/;Жуковский;sale;flat;4;18;1;41.1;6740400;; Гудкова;;Жулебино;Гранд Комфорт,,
Ольга Смульская;realtor;https://zhukovsky.cian.ru/sale/flat/301206428/;Жуковский;sale;flat;2;5;2;50.0;8650000;; Чкалова;33;Отдых;,,
ID 25847224;realtor;https://zhukovsky.cian.ru/sale/flat/307659413/;Жуковский;sale;flat;8;9;1;32.8;4825000;; Семашко;8к1;Отдых;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542245/;Жуковский;sale;flat;5;18;2;53.6;10237600;; Гудкова;;Жулебино;Гранд Комфорт,,
Премьер-Недвижимость;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/307243399/;Жуковский;sale;flat;1;5;2;64.4;10990000;; Ломоносова;6;Отдых;,,
Русь-офис Ильинский;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/307887132/;Жуковский;sale;flat;3;5;2;42.5;5200000;; Ломоносова;33;Отдых;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542387/;Жуковский;sale;flat;5;18;1;38.6;6562000;; Гудкова;6;Ильинская;Гранд Комфорт,,
Золотые Ключи;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/294163993/;Жуковский;sale;flat;4;4;2;67.0;10490000;;Нижегородская ;28Бк1;Кратово;,,
Татьяна Исхакова;realtor;https://zhukovsky.cian.ru/sale/flat/296657838/;Жуковский;sale;flat;1;5;1;29.8;4160000;; Чапаева;14А;Ильинская;,,
УСПЕХ;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/308515037/;Жуковский;sale;flat;4;5;2;44.9;5600000;; Чкалова;32;Отдых;,,
ГАРАНТ;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/307753920/;Жуковский;sale;flat;4;5;2;43.0;5100000;; Гагарина;32к3;Ильинская;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542294/;Жуковский;sale;flat;11;18;1;43.7;7440400;; Гудкова;;Жулебино;Гранд Комфорт,,
Роман Золотов;realtor;https://zhukovsky.cian.ru/sale/flat/305845488/;Жуковский;sale;flat;1;5;2;61.8;7500000;; Ломоносова;14;Отдых;,,
ВЗЛЕТ Недвижимость;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/307040566/;Жуковский;sale;flat;4;5;1;32.0;3750000;; Дугина;10;Ильинская;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542449/;Жуковский;sale;flat;5;18;1;49.5;7920000;; Гудкова;6;Ильинская;Гранд Комфорт,,
Алексей Костин;realtor;https://zhukovsky.cian.ru/sale/flat/307607983/;Жуковский;sale;flat;5;10;2;53.3;10200000;; Гризодубовой;8;Отдых;,,
ID 62980391;homeowner;https://zhukovsky.cian.ru/sale/flat/300776549/;Жуковский;sale;flat;8;12;2;68.2;13000000;; Гагарина;85;Ильинская;,,
Юлия Трифонова;realtor;https://zhukovsky.cian.ru/sale/flat/308637043/;Жуковский;sale;flat;4;5;2;44.1;5200000;; Гагарина;29;Ильинская;,,
ИП Шишкина М. Е.;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/294520191/;Жуковский;sale;flat;3;9;2;49.6;7150000;; Баженова;4;Ильинская;,,
Эксперт;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/299999147/;Жуковский;sale;flat;1;5;2;43.0;5000000;; Дзержинского;6/2;Отдых;,,
ID 119839;homeowner;https://zhukovsky.cian.ru/sale/flat/306585100/;Жуковский;sale;flat;5;17;1;33.4;6350000;; Гудкова;3;Ильинская;,,
ВИЗАВИ;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/308398561/;Жуковский;sale;flat;6;9;1;32.7;4900000;; Мясищева;8к5;Ильинская;,,
Владимир Сидоренков;realtor;https://zhukovsky.cian.ru/sale/flat/301621262/;Жуковский;sale;flat;5;5;2;44.1;4500000;;Комсомольская ;4;Отдых;,,
Юлия Ермакова;realtor;https://zhukovsky.cian.ru/sale/flat/308832238/;Жуковский;sale;flat;3;9;2;49.8;8500000;; Макаревского;9;Ильинская;,,
Этажи Москва;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/304947396/;Жуковский;sale;flat;14;14;1;38.5;5999000;; Солнечная;11;Ильинская;,,
ДОМУС;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/308341647/;Жуковский;sale;flat;7;10;2;59.0;13500000;; Солнечная;7;Ильинская;Микрорайон 5А,,
ID 104821113;homeowner;https://zhukovsky.cian.ru/sale/flat/308076928/;Жуковский;sale;flat;1;5;2;39.0;5200000;; Амет-хан Султана;1;Отдых;,,
ИП Шишкина М. Е.;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/300014778/;Жуковский;sale;flat;2;5;2;61.4;8700000;; Ломоносова;10;Отдых;,,
ID 113226225;homeowner;https://zhukovsky.cian.ru/sale/flat/308295408/;Жуковский;sale;flat;7;12;2;47.7;6500000;; Набережная Циолковского;14;Ильинская;,,
Сергей  Кузьминых;realtor;https://zhukovsky.cian.ru/sale/flat/294063045/;Жуковский;sale;flat;1;9;1;32.4;4700000;; Семашко;8к1;Отдых;,,
ID 29647;realtor;https://zhukovsky.cian.ru/sale/flat/277298582/;Жуковский;sale;flat;8;9;2;52.2;6800000;; Осипенко;2/4;Отдых;,,
ИП Шишкина М. Е.;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/300820867/;Жуковский;sale;flat;4;9;1;32.7;5199000;; Дугина;20;Ильинская;,,
Владис Новый Город;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/297844978/;Жуковский;sale;flat;4;5;1;31.9;4750000;; Жуковского;24;Отдых;,,
Владис Новый Город;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/307252417/;Жуковский;sale;flat;5;5;1;31.5;4950000;; Дугина;14;Ильинская;,,
Центральное;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/308016139/;Жуковский;sale;flat;1;5;1;32.0;4195000;; Гагарина;59;Ильинская;,,
УСПЕХ;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/306107471/;Жуковский;sale;flat;9;12;1;31.2;5450000;;;7;Отдых;,,
ID 485941;realtor;https://zhukovsky.cian.ru/sale/flat/302849043/;Жуковский;sale;flat;2;14;2;55.0;6590000;; Гагарина;79;Ильинская;,,
author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542758/;Жуковский;sale;flat;10;18;1;45.8;6936200;; Гудкова;6;Ильинская;Гранд Комфорт,,
СОВКОМБАНК;official_representative;https://zhukovsky.cian.ru/sale/flat/304369759/;Жуковский;sale;flat;4;5;2;42.7;4700000;; Гагарина;25;Ильинская;,,
МОСОБЛЖИЛСЕРВИС;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/308800013/;Жуковский;sale;flat;13;14;1;37.4;4000000;; Федотова;5;Ильинская;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542655/;Жуковский;sale;flat;15;18;2;63.3;9979200;; Гудкова;6;Ильинская;Гранд Комфорт,,
ID 105760738;homeowner;https://zhukovsky.cian.ru/sale/flat/304204150/;Жуковский;sale;flat;9;10;1;32.8;5200000;; Левченко;1;Отдых;,,
ID 87333070;realtor;https://zhukovsky.cian.ru/sale/flat/291999253/;Жуковский;sale;flat;8;17;1;37.0;5800000;;Нижегородская ;31А;Кратово;Нижегородский,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542754/;Жуковский;sale;flat;10;18;1;38.0;5896800;; Гудкова;6;Ильинская;Гранд Комфорт,,
ID 310263;homeowner;https://zhukovsky.cian.ru/sale/flat/283282239/;Жуковский;sale;flat;8;20;2;57.4;8000000;; Баженова;4/2;Ильинская;Полетград,,
ВЗЛЕТ Недвижимость;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/308832851/;Жуковский;sale;flat;3;14;1;34.1;4300000;; Макаревского;15/3;Ильинская;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542445/;Жуковский;sale;flat;4;18;1;40.4;6464000;; Гудкова;6;Ильинская;Гранд Комфорт,,
Золотые Ключи;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/308254008/;Жуковский;sale;flat;19;25;2;57.0;10690000;; Гагарина;62;Ильинская;Гагаринский,,
Ольга Сергеева;realtor;https://zhukovsky.cian.ru/sale/flat/291911952/;Жуковский;sale;flat;4;5;2;45.0;5000000;; Гагарина;61;Ильинская;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307543066/;Жуковский;sale;flat;7;18;1;40.7;6311200;; Гудкова;6;Ильинская;Гранд Комфорт,,
Экспресс-недвижимость;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/299498097/;Жуковский;sale;flat;9;20;2;55.5;8000000;; Баженова;4/2;Ильинская;Полетград,,
УСПЕХ;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/308165339/;Жуковский;sale;flat;3;14;1;38.6;5200000;; Баженова;1к2;Ильинская;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542462/;Жуковский;sale;flat;6;18;1;49.2;7663600;; Гудкова;6;Ильинская;Гранд Комфорт,,
Центральное;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/308786793/;Жуковский;sale;flat;3;9;2;46.6;7477000;; Мясищева;8б;Ильинская;,,
